"anno1","anno2","anno3","manuell","Junktor","id"
"TRUE","TRUE","TRUE","manual","Proposition",117
"FALSE","TRUE","TRUE","automatic","Negation",118
"FALSE","FALSE","TRUE","automatic","Negation",119
"FALSE","FALSE","FALSE","automatic","Konjunktion",120
"TRUE","TRUE","FALSE","automatic","Proposition",121
"TRUE","FALSE","FALSE","manual","Implikation",122
"FALSE","FALSE","FALSE","automatic","Proposition",123
"TRUE","TRUE","TRUE","automatic","Implikation",124
"FALSE","FALSE","FALSE","automatic","Konjunktion",125
"TRUE","TRUE","FALSE","automatic","Implikation",126
"TRUE","TRUE","TRUE","manual","Proposition",127
"FALSE","TRUE","FALSE","automatic","Implikation",128
"FALSE","FALSE","FALSE","automatic","Konjunktion",129
"FALSE","FALSE","FALSE","automatic","Proposition",130
"TRUE","TRUE","FALSE","automatic","Negation",131
"TRUE","TRUE","FALSE","manual","Implikation",132
"FALSE","FALSE","FALSE","automatic","Proposition",133
"FALSE","TRUE","TRUE","automatic","Negation",134
"FALSE","FALSE","FALSE","automatic","Proposition",135
"FALSE","TRUE","TRUE","automatic","Negation",136
"TRUE","TRUE","TRUE","automatic","Negation",137
"FALSE","FALSE","FALSE","automatic","Konjunktion",138
"TRUE","TRUE","FALSE","automatic","Implikation",139
"FALSE","FALSE","FALSE","automatic","Konjunktion",140
"FALSE","TRUE","TRUE","automatic","Negation",141
"FALSE","FALSE","FALSE","automatic","Negation",142
"TRUE","TRUE","TRUE","automatic","Negation",143
"FALSE","FALSE","FALSE","automatic","Proposition",144
"FALSE","FALSE","FALSE","automatic","Konjunktion",145
"TRUE","TRUE","FALSE","automatic","Implikation",146
"TRUE","TRUE","FALSE","automatic","Implikation",147
"TRUE","TRUE","FALSE","automatic","Proposition",148
"FALSE","FALSE","FALSE","automatic","Konjunktion",149
"FALSE","FALSE","FALSE","automatic","Konjunktion",150
"FALSE","FALSE","FALSE","automatic","Negation",151
"TRUE","TRUE","TRUE","automatic","Negation",152
"TRUE","TRUE","TRUE","automatic","Konjunktion",153
"TRUE","TRUE","FALSE","automatic","Implikation",154
"FALSE","FALSE","FALSE","automatic","Proposition",155
"TRUE","TRUE","TRUE","automatic","Disjunktion",156
"FALSE","FALSE","FALSE","automatic","Disjunktion",157
"FALSE","FALSE","FALSE","automatic","Proposition",158
"FALSE","FALSE","FALSE","automatic","Disjunktion",159
"TRUE","TRUE","FALSE","automatic","Implikation",160
"TRUE","TRUE","TRUE","automatic","Konjunktion",161
"FALSE","FALSE","FALSE","automatic","Konjunktion",162
"FALSE","TRUE","FALSE","automatic","Implikation",163
"FALSE","FALSE","FALSE","automatic","Proposition",164
"FALSE","FALSE","FALSE","automatic","Negation",165
"TRUE","TRUE","FALSE","automatic","Negation",166
"TRUE","FALSE","FALSE","automatic","Disjunktion",167
"FALSE","FALSE","FALSE","automatic","Proposition",168
"TRUE","FALSE","TRUE","manual","Implikation",169
"TRUE","TRUE","TRUE","automatic","Proposition",170
"TRUE","FALSE","TRUE","manual","Implikation",171
"FALSE","FALSE","FALSE","automatic","Konjunktion",172
"FALSE","TRUE","FALSE","automatic","Negation",173
"FALSE","FALSE","FALSE","automatic","Proposition",174
"FALSE","FALSE","FALSE","automatic","Proposition",175
"FALSE","FALSE","FALSE","automatic","Proposition",176
"TRUE","TRUE","TRUE","automatic","Negation",177
"TRUE","FALSE","TRUE","automatic","Implikation",178
"FALSE","FALSE","FALSE","automatic","Negation",179
"TRUE","FALSE","FALSE","manual","Implikation",180
"TRUE","TRUE","TRUE","manual","Proposition",181
"TRUE","TRUE","FALSE","automatic","Negation",182
"TRUE","TRUE","TRUE","automatic","Disjunktion",183
"TRUE","FALSE","FALSE","automatic","Proposition",184
"FALSE","TRUE","TRUE","automatic","Negation",185
"FALSE","TRUE","TRUE","automatic","Negation",186
"FALSE","FALSE","FALSE","automatic","Disjunktion",187
"TRUE","TRUE","TRUE","automatic","Negation",188
"TRUE","TRUE","TRUE","automatic","Negation",189
"FALSE","FALSE","FALSE","automatic","Konjunktion",190
"TRUE","FALSE","FALSE","automatic","Proposition",191
"TRUE","TRUE","TRUE","manual","Konjunktion",192
"FALSE","TRUE","TRUE","automatic","Negation",193
"FALSE","FALSE","FALSE","automatic","Disjunktion",194
"TRUE","TRUE","TRUE","manual","Proposition",195
"FALSE","FALSE","TRUE","automatic","Negation",196
"TRUE","TRUE","TRUE","automatic","Disjunktion",197
"FALSE","FALSE","FALSE","automatic","Disjunktion",198
"FALSE","FALSE","FALSE","automatic","Disjunktion",199
"FALSE","FALSE","FALSE","automatic","Konjunktion",200
